Intensitas_Belajar,Fokus_Belajar,Disiplin_Belajar,Interaksi_Belajar,Teknologi,Lingkungan_Belajar,Waktu_Efektif,Gaya_Belajar
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Rendah,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Rendah,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Pagi,Auditori
Tinggi,Tinggi,Rendah,Tinggi,Tinggi,Rendah,Malam,Visual
Sedang,Tinggi,Tinggi,Sedang,Tinggi,Rendah,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Sedang,Sedang,Sedang,Rendah,Sedang,Tinggi,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Siang,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Pagi,Auditori
Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Malam,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Tinggi,Malam,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Siang,Visual
Rendah,Rendah,Sedang,Tinggi,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Malam,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Malam,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Tinggi,Siang,Auditori
Sedang,Sedang,Sedang,Rendah,Sedang,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Sedang,Sedang,Sedang,Rendah,Sedang,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Rendah,Sedang,Tinggi,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Tinggi,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Auditori
Rendah,Sedang,Sedang,Sedang,Rendah,Sedang,Malam,Kinestetik
Sedang,Sedang,Sedang,Rendah,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Pagi,Kinestetik
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Rendah,Rendah,Rendah,Rendah,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Sedang,Sedang,Sedang,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Malam,Kinestetik
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Malam,Visual
Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Rendah,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Rendah,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Sedang,Rendah,Sedang,Sedang,Siang,Visual
Sedang,Sedang,Tinggi,Sedang,Sedang,Tinggi,Siang,Visual
Rendah,Tinggi,Sedang,Sedang,Tinggi,Rendah,Siang,Visual
Tinggi,Rendah,Sedang,Tinggi,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Tinggi,Sedang,Tinggi,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Tinggi,Rendah,Rendah,Tinggi,Siang,Visual
Sedang,Tinggi,Sedang,Sedang,Tinggi,Sedang,Pagi,Visual
Sedang,Sedang,Rendah,Sedang,Sedang,Tinggi,Malam,Visual
Sedang,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Siang,Kinestetik
Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Malam,Visual
Sedang,Tinggi,Sedang,Rendah,Tinggi,Rendah,Siang,Auditori
Sedang,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Pagi,Visual
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Siang,Auditori
Rendah,Tinggi,Rendah,Rendah,Rendah,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Rendah,Sedang,Tinggi,Malam,Visual
Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Pagi,Visual
Rendah,Tinggi,Rendah,Sedang,Tinggi,Rendah,Malam,Auditori
Sedang,Sedang,Sedang,Rendah,Rendah,Sedang,Siang,Visual
Tinggi,Tinggi,Sedang,Tinggi,Sedang,Rendah,Siang,Visual
Rendah,Tinggi,Rendah,Sedang,Rendah,Rendah,Siang,Auditori
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Siang,Kinestetik
Rendah,Tinggi,Rendah,Tinggi,Tinggi,Sedang,Malam,Visual
Rendah,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Siang,Auditori
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Sedang,Tinggi,Rendah,Rendah,Siang,Visual
Sedang,Tinggi,Sedang,Tinggi,Rendah,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Siang,Kinestetik
Sedang,Tinggi,Tinggi,Rendah,Tinggi,Rendah,Siang,Auditori
Sedang,Tinggi,Rendah,Sedang,Rendah,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Sedang,Sedang,Rendah,Malam,Auditori
Rendah,Tinggi,Sedang,Sedang,Tinggi,Rendah,Pagi,Visual
Tinggi,Tinggi,Sedang,Rendah,Sedang,Tinggi,Siang,Visual
Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Pagi,Visual
Rendah,Tinggi,Sedang,Rendah,Tinggi,Tinggi,Malam,Auditori
Rendah,Rendah,Tinggi,Rendah,Sedang,Rendah,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Rendah,Tinggi,Rendah,Sedang,Sedang,Rendah,Malam,Visual
Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Malam,Visual
Rendah,Sedang,Sedang,Rendah,Rendah,Tinggi,Siang,Auditori
Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Pagi,Auditori
Rendah,Tinggi,Sedang,Rendah,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Sedang,Tinggi,Sedang,Rendah,Sedang,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Sedang,Tinggi,Sedang,Sedang,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Malam,Auditori
Rendah,Sedang,Tinggi,Tinggi,Sedang,Sedang,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Pagi,Auditori
Tinggi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Rendah,Tinggi,Rendah,Rendah,Sedang,Rendah,Siang,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Malam,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Pagi,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Malam,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Kinestetik
Rendah,Tinggi,Rendah,Rendah,Rendah,Rendah,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Siang,Auditori
Rendah,Rendah,Tinggi,Rendah,Rendah,Rendah,Pagi,Kinestetik
Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Siang,Visual
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Auditori
Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Siang,Auditori
Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Pagi,Visual
Rendah,Tinggi,Rendah,Rendah,Sedang,Rendah,Malam,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Siang,Visual
Rendah,Tinggi,Rendah,Rendah,Sedang,Rendah,Pagi,Kinestetik
Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Pagi,Visual
Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sedang,Malam,Auditori
